variable,x,y
ann.dd 10,-2361.4020263671873,0.07218283193651587
ann.dd 10,-2355.533344628906,0.07218283193651587
ann.dd 10,-2349.6646628906246,0.07218283193651587
ann.dd 10,-2343.7959811523438,0.07218283193651587
ann.dd 10,-2337.9272994140624,0.07218283193651587
ann.dd 10,-2332.058617675781,0.07218283193651587
ann.dd 10,-2326.1899359374997,0.07218283193651587
ann.dd 10,-2320.3212541992184,0.07218283193651587
ann.dd 10,-2314.4525724609375,0.07218283193651587
ann.dd 10,-2308.583890722656,0.07218283193651587
ann.dd 10,-2302.715208984375,0.07218283193651587
ann.dd 10,-2296.8465272460935,0.07218283193651587
ann.dd 10,-2290.977845507812,0.07218283193651587
ann.dd 10,-2285.1091637695313,0.07218283193651587
ann.dd 10,-2279.24048203125,0.07218283193651587
ann.dd 10,-2273.3718002929686,0.07218283193651587
ann.dd 10,-2267.5031185546873,0.07218283193651587
ann.dd 10,-2261.634436816406,0.07218283193651587
ann.dd 10,-2255.765755078125,0.07218283193651587
ann.dd 10,-2249.8970733398437,0.07218283193651587
ann.dd 10,-2244.0283916015624,0.07218283193651587
ann.dd 10,-2238.159709863281,0.07218283193651587
ann.dd 10,-2232.2910281249997,0.07218283193651587
ann.dd 10,-2226.4223463867183,0.07218283193651587
ann.dd 10,-2220.5536646484375,0.07218283193651587
ann.dd 10,-2214.684982910156,0.07218283193651587
ann.dd 10,-2208.816301171875,0.07218283193651587
ann.dd 10,-2202.9476194335934,0.07218283193651587
ann.dd 10,-2197.0789376953126,0.07218283193651587
ann.dd 10,-2191.210255957031,0.07218283193651587
ann.dd 10,-2185.34157421875,0.07218283193651587
ann.dd 10,-2179.4728924804685,0.07218283193651587
ann.dd 10,-2173.604210742187,0.07218283193651587
ann.dd 10,-2167.735529003906,0.07218283193651587
ann.dd 10,-2161.866847265625,0.07218283193651587
ann.dd 10,-2155.9981655273436,0.07218283193651587
ann.dd 10,-2150.1294837890623,0.07218283193651587
ann.dd 10,-2144.260802050781,0.07218283193651587
ann.dd 10,-2138.3921203124996,0.07218283193651587
ann.dd 10,-2132.5234385742187,0.07218283193651587
ann.dd 10,-2126.6547568359374,0.07218283193651587
ann.dd 10,-2120.786075097656,0.07218283193651587
ann.dd 10,-2114.9173933593747,0.07218283193651587
ann.dd 10,-2109.0487116210934,0.07218283193651587
ann.dd 10,-2103.1800298828125,0.07218283193651587
ann.dd 10,-2097.311348144531,0.07218283193651587
ann.dd 10,-2091.44266640625,0.07218283193651587
ann.dd 10,-2085.5739846679685,0.07218283193651587
ann.dd 10,-2079.7053029296876,0.07218283193651587
ann.dd 10,-2073.8366211914063,0.07218283193651587
ann.dd 10,-2067.967939453125,0.07218283193651587
ann.dd 10,-2062.0992577148436,0.07218283193651587
ann.dd 10,-2056.2305759765622,0.07218283193651587
ann.dd 10,-2050.361894238281,0.07218283193651587
ann.dd 10,-2044.4932124999998,0.07218283193651587
ann.dd 10,-2038.6245307617187,0.07218283193651587
ann.dd 10,-2032.7558490234373,0.07218283193651587
ann.dd 10,-2026.887167285156,0.07218283193651587
ann.dd 10,-2021.018485546875,0.07218283193651587
ann.dd 10,-2015.1498038085936,0.07218283193651587
ann.dd 10,-2009.2811220703124,0.07218283193651587
ann.dd 10,-2003.412440332031,0.07218283193651587
ann.dd 10,-1997.5437585937498,0.07218283193651587
ann.dd 10,-1991.6750768554687,0.07218283193651587
ann.dd 10,-1985.8063951171873,0.07218283193651587
ann.dd 10,-1979.9377133789062,0.07218283193651587
ann.dd 10,-1974.0690316406249,0.07218283193651587
ann.dd 10,-1968.2003499023435,0.07218283193651587
ann.dd 10,-1962.3316681640624,0.07218283193651587
ann.dd 10,-1956.462986425781,0.07218283193651587
ann.dd 10,-1950.5943046874997,0.07218283193651587
ann.dd 10,-1944.7256229492186,0.07218283193651587
